bom_id,material_id,component_material_id,quantity,unit
BOM000559,MAT00389,MAT00085,7.84,EA
BOM000560,MAT00390,MAT00367,3.4,EA
BOM000561,MAT00391,MAT00218,9.35,EA
BOM000562,MAT00393,MAT00159,8.93,EA
BOM000563,MAT00393,MAT00352,5.36,EA
BOM000564,MAT00394,MAT00077,9.76,EA
BOM000565,MAT00395,MAT00036,8.19,EA
BOM000566,MAT00395,MAT00348,7.39,EA
BOM000567,MAT00395,MAT00286,3.8,EA
BOM000568,MAT00396,MAT00238,5.97,EA
BOM000569,MAT00397,MAT00112,3.02,EA
BOM000570,MAT00398,MAT00343,5.15,EA
BOM000571,MAT00399,MAT00048,6.83,EA
