lead_id,customer_id,lead_source,lead_status,created_date,owner_employee_id
LEAD00370,CUNQ000080,Social Media,New,2023-09-19,EMP00170
LEAD00371,CUNQ001774,Trade Show,Converted,2024-04-21,EMP00209
LEAD00372,CUNQ000549,Website,Qualified,2023-06-11,EMP00064
LEAD00373,CUNQ000757,Marketing Campaign,Contacted,2023-12-20,EMP00163
LEAD00374,CUNQ001257,Social Media,Contacted,2024-03-10,EMP00201
LEAD00375,CUNQ000679,Referral,Lost,2023-11-06,EMP00199
LEAD00376,CUNQ000848,Website,Contacted,2024-05-09,EMP00249
LEAD00377,CUNQ001295,Trade Show,Qualified,2024-08-08,EMP00157
LEAD00378,CUNQ000105,Trade Show,New,2024-12-17,EMP00076
LEAD00379,CUNQ001914,Cold Call,Contacted,2024-11-05,EMP00211
LEAD00380,CUNQ001227,Social Media,Converted,2024-08-02,EMP00170
LEAD00381,CUNQ000290,Marketing Campaign,Converted,2023-02-20,EMP00064
LEAD00382,CUNQ000973,Referral,Converted,2023-10-21,EMP00016
LEAD00383,CUNQ000278,Referral,Converted,2023-12-27,EMP00071
LEAD00384,CUNQ001312,Trade Show,Converted,2024-09-27,EMP00249
LEAD00385,CUNQ001918,Social Media,Converted,2024-11-06,EMP00064
LEAD00386,CUNQ000409,Website,Lost,2024-10-05,EMP00170
LEAD00387,CUNQ000100,Website,Contacted,2024-10-23,EMP00209
LEAD00388,CUNQ000044,Website,Qualified,2024-03-27,EMP00211
LEAD00389,CUNQ001256,Website,Lost,2023-05-15,EMP00248
LEAD00390,CUNQ000469,Social Media,Qualified,2023-12-01,EMP00211
LEAD00391,CUNQ001087,Referral,Converted,2023-07-25,EMP00016
LEAD00392,CUNQ001029,Marketing Campaign,Qualified,2024-01-10,EMP00084
LEAD00393,CUNQ000344,Referral,Contacted,2023-10-07,EMP00170
LEAD00394,CUNQ001338,Trade Show,Converted,2024-05-08,EMP00248
LEAD00395,CUNQ001251,Website,Qualified,2023-12-13,EMP00084
LEAD00396,CUNQ000976,Referral,Converted,2023-03-19,EMP00221
LEAD00397,CUNQ001898,Social Media,Converted,2023-08-20,EMP00211
LEAD00398,CUNQ000058,Marketing Campaign,Qualified,2024-02-11,EMP00071
LEAD00399,CUNQ001071,Website,Contacted,2024-02-09,EMP00209
LEAD00400,CUNQ000515,Cold Call,Qualified,2023-05-07,EMP00076
LEAD00401,CUNQ000331,Trade Show,Qualified,2024-11-19,EMP00084
LEAD00402,CUNQ001985,Trade Show,New,2024-10-15,EMP00076
LEAD00403,CUNQ000357,Cold Call,New,2023-08-28,EMP00230
LEAD00404,CUNQ000287,Trade Show,Lost,2024-07-28,EMP00084
LEAD00405,CUNQ000643,Social Media,New,2023-08-15,EMP00071
LEAD00406,CUNQ000598,Social Media,Contacted,2024-04-20,EMP00230
LEAD00407,CUNQ000883,Website,New,2024-02-23,EMP00071
LEAD00408,CUNQ001686,Trade Show,Lost,2023-02-08,EMP00175
LEAD00409,CUNQ001681,Website,Contacted,2023-04-29,EMP00221
LEAD00410,CUNQ001396,Referral,Qualified,2024-07-04,EMP00201
LEAD00411,CUNQ000209,Social Media,Lost,2024-01-15,EMP00248
LEAD00412,CUNQ000263,Marketing Campaign,Qualified,2024-12-14,EMP00084
LEAD00413,CUNQ001634,Cold Call,Converted,2023-06-08,EMP00230
LEAD00414,CUNQ000609,Marketing Campaign,Qualified,2024-05-16,EMP00201
LEAD00415,CUNQ000163,Website,Converted,2023-10-14,EMP00209
LEAD00416,CUNQ000801,Cold Call,Qualified,2023-08-11,EMP00170
LEAD00417,CUNQ000975,Trade Show,New,2023-08-30,EMP00163
LEAD00418,CUNQ001460,Trade Show,Qualified,2024-12-03,EMP00163
LEAD00419,CUNQ000470,Trade Show,New,2024-10-22,EMP00230
LEAD00420,CUNQ001243,Referral,Lost,2023-10-10,EMP00249
LEAD00421,CUNQ000194,Website,Converted,2024-04-10,EMP00084
LEAD00422,CUNQ001112,Social Media,Qualified,2024-10-19,EMP00077
LEAD00423,CUNQ000492,Website,Converted,2023-01-22,EMP00248
LEAD00424,CUNQ000593,Referral,Converted,2023-09-07,EMP00221
LEAD00425,CUNQ001386,Website,Converted,2023-07-30,EMP00230
LEAD00426,CUNQ000962,Referral,Qualified,2024-07-21,EMP00221
LEAD00427,CUNQ001937,Trade Show,Converted,2023-08-27,EMP00071
LEAD00428,CUNQ001310,Website,Contacted,2024-09-02,EMP00248
LEAD00429,CUNQ000706,Referral,Qualified,2023-05-29,EMP00157
LEAD00430,CUNQ000114,Website,Converted,2023-06-28,EMP00175
LEAD00431,CUNQ001945,Referral,New,2023-01-27,EMP00077
LEAD00432,CUNQ001231,Marketing Campaign,Contacted,2023-09-01,EMP00064
LEAD00433,CUNQ000874,Trade Show,New,2023-06-28,EMP00221
LEAD00434,CUNQ001961,Marketing Campaign,New,2024-03-07,EMP00248
LEAD00435,CUNQ001089,Cold Call,Qualified,2023-03-07,EMP00120
LEAD00436,CUNQ001790,Marketing Campaign,Qualified,2024-01-06,EMP00221
LEAD00437,CUNQ000670,Marketing Campaign,Contacted,2024-04-07,EMP00230
LEAD00438,CUNQ000336,Website,Converted,2024-09-21,EMP00064
LEAD00439,CUNQ001774,Marketing Campaign,Contacted,2024-11-05,EMP00076
LEAD00440,CUNQ001748,Website,New,2024-10-20,EMP00157
LEAD00441,CUNQ001793,Cold Call,Qualified,2024-05-05,EMP00071
LEAD00442,CUNQ000534,Cold Call,Converted,2023-04-21,EMP00163
LEAD00443,CUNQ001251,Website,Lost,2024-03-30,EMP00016
LEAD00444,CUNQ001900,Marketing Campaign,New,2023-11-26,EMP00077
LEAD00445,CUNQ000997,Trade Show,Converted,2023-05-10,EMP00071
LEAD00446,CUNQ001585,Marketing Campaign,Converted,2024-08-22,EMP00221
LEAD00447,CUNQ001247,Marketing Campaign,Qualified,2024-01-26,EMP00076
LEAD00448,CUNQ001013,Marketing Campaign,Converted,2024-04-09,EMP00249
LEAD00449,CUNQ000531,Social Media,New,2023-04-12,EMP00077
LEAD00450,CUNQ001546,Social Media,Lost,2024-11-01,EMP00209
LEAD00451,CUNQ000737,Social Media,Lost,2024-07-18,EMP00221
LEAD00452,CUNQ001886,Cold Call,Lost,2024-03-16,EMP00120
LEAD00453,CUNQ000455,Trade Show,Converted,2024-02-28,EMP00077
LEAD00454,CUNQ001583,Cold Call,Converted,2024-02-13,EMP00157
LEAD00455,CUNQ001964,Cold Call,Contacted,2023-11-17,EMP00221
LEAD00456,CUNQ001549,Trade Show,Lost,2023-09-19,EMP00199
LEAD00457,CUNQ000014,Cold Call,New,2024-12-04,EMP00071
LEAD00458,CUNQ001443,Website,Qualified,2023-03-29,EMP00248
LEAD00459,CUNQ001774,Referral,Qualified,2024-01-17,EMP00201
LEAD00460,CUNQ001258,Marketing Campaign,Qualified,2024-08-23,EMP00157
LEAD00461,CUNQ000464,Website,Qualified,2024-11-17,EMP00076
LEAD00462,CUNQ001263,Cold Call,Lost,2024-11-12,EMP00157
LEAD00463,CUNQ001836,Trade Show,Converted,2023-02-22,EMP00209
LEAD00464,CUNQ001805,Website,Qualified,2023-12-27,EMP00249
LEAD00465,CUNQ001159,Referral,Converted,2023-08-06,EMP00248
LEAD00466,CUNQ000812,Website,Qualified,2023-08-18,EMP00120
LEAD00467,CUNQ000252,Trade Show,New,2024-07-23,EMP00211
LEAD00468,CUNQ001376,Marketing Campaign,Contacted,2023-10-13,EMP00249
LEAD00469,CUNQ001441,Marketing Campaign,Lost,2024-03-15,EMP00170
LEAD00470,CUNQ000708,Marketing Campaign,Converted,2024-09-28,EMP00175
LEAD00471,CUNQ000039,Website,Converted,2024-07-24,EMP00201
LEAD00472,CUNQ001899,Social Media,Contacted,2024-11-04,EMP00230
LEAD00473,CUNQ000090,Trade Show,Converted,2023-07-04,EMP00120
LEAD00474,CUNQ001623,Trade Show,Qualified,2023-11-13,EMP00076
LEAD00475,CUNQ001274,Referral,Qualified,2023-07-05,EMP00209
LEAD00476,CUNQ000626,Website,New,2024-02-15,EMP00071
LEAD00477,CUNQ000300,Website,New,2024-10-10,EMP00201
LEAD00478,CUNQ000142,Referral,Qualified,2024-06-27,EMP00077
LEAD00479,CUNQ001306,Trade Show,Contacted,2024-04-09,EMP00016
LEAD00480,CUNQ001006,Social Media,Contacted,2023-11-16,EMP00248
LEAD00481,CUNQ001385,Marketing Campaign,New,2024-08-04,EMP00016
LEAD00482,CUNQ000623,Referral,Contacted,2023-02-23,EMP00157
LEAD00483,CUNQ001543,Website,Converted,2024-09-24,EMP00157
LEAD00484,CUNQ001021,Cold Call,Converted,2023-10-06,EMP00016
LEAD00485,CUNQ000418,Marketing Campaign,Qualified,2024-05-12,EMP00084
LEAD00486,CUNQ000380,Referral,Converted,2023-10-07,EMP00221
LEAD00487,CUNQ000799,Trade Show,Qualified,2023-04-27,EMP00163
LEAD00488,CUNQ001499,Social Media,Converted,2023-10-18,EMP00064
LEAD00489,CUNQ001178,Marketing Campaign,Converted,2024-05-13,EMP00016
LEAD00490,CUNQ001447,Referral,Qualified,2023-02-16,EMP00249
LEAD00491,CUNQ000877,Website,New,2024-09-05,EMP00199
LEAD00492,CUNQ000054,Referral,Converted,2023-11-05,EMP00249
LEAD00493,CUNQ000824,Trade Show,Contacted,2023-09-19,EMP00230
LEAD00494,CUNQ000733,Cold Call,Converted,2023-01-08,EMP00163
LEAD00495,CUNQ001609,Referral,Qualified,2023-06-29,EMP00163
LEAD00496,CUNQ001815,Referral,Qualified,2024-12-21,EMP00084
LEAD00497,CUNQ000559,Trade Show,New,2024-11-15,EMP00157
LEAD00498,CUNQ001218,Cold Call,New,2023-02-13,EMP00209
LEAD00499,CUNQ001630,Trade Show,Qualified,2023-03-21,EMP00175
LEAD00500,CUNQ001194,Cold Call,Converted,2024-08-10,EMP00211
LEAD00501,CUNQ000248,Trade Show,New,2024-03-03,EMP00016
LEAD00502,CUNQ000544,Trade Show,Contacted,2023-01-22,EMP00248
LEAD00503,CUNQ001702,Cold Call,Converted,2024-09-24,EMP00071
LEAD00504,CUNQ001811,Website,Qualified,2024-01-06,EMP00071
LEAD00505,CUNQ000524,Referral,Qualified,2023-04-19,EMP00077
LEAD00506,CUNQ000746,Marketing Campaign,New,2024-02-15,EMP00249
LEAD00507,CUNQ000085,Social Media,Contacted,2023-11-14,EMP00016
LEAD00508,CUNQ001421,Referral,New,2023-12-08,EMP00209
LEAD00509,CUNQ000203,Website,Qualified,2024-10-10,EMP00249
LEAD00510,CUNQ001056,Trade Show,Qualified,2023-07-18,EMP00064
LEAD00511,CUNQ000132,Referral,Contacted,2024-10-22,EMP00163
LEAD00512,CUNQ001181,Trade Show,Contacted,2023-05-30,EMP00221
LEAD00513,CUNQ000886,Referral,Converted,2024-09-08,EMP00157
LEAD00514,CUNQ001190,Website,Contacted,2024-11-02,EMP00201
LEAD00515,CUNQ000365,Cold Call,Qualified,2024-10-05,EMP00249
LEAD00516,CUNQ000333,Marketing Campaign,Qualified,2024-07-31,EMP00230
LEAD00517,CUNQ001819,Social Media,Converted,2024-08-01,EMP00076
LEAD00518,CUNQ001918,Trade Show,Lost,2024-10-01,EMP00170
LEAD00519,CUNQ000014,Trade Show,Contacted,2024-10-04,EMP00157
LEAD00520,CUNQ000597,Cold Call,Qualified,2023-03-11,EMP00201
LEAD00521,CUNQ000999,Trade Show,Qualified,2023-11-07,EMP00071
LEAD00522,CUNQ001677,Marketing Campaign,New,2023-12-27,EMP00211
LEAD00523,CUNQ000675,Cold Call,New,2024-04-17,EMP00211
LEAD00524,CUNQ001197,Trade Show,New,2024-01-13,EMP00170
LEAD00525,CUNQ001767,Marketing Campaign,Qualified,2023-04-03,EMP00016
LEAD00526,CUNQ000547,Cold Call,Qualified,2024-01-29,EMP00016
LEAD00527,CUNQ001995,Cold Call,Lost,2023-02-12,EMP00170
LEAD00528,CUNQ001150,Social Media,Contacted,2024-08-08,EMP00084
LEAD00529,CUNQ000652,Cold Call,Qualified,2024-09-11,EMP00221
LEAD00530,CUNQ000079,Cold Call,New,2023-03-05,EMP00157
LEAD00531,CUNQ001419,Social Media,New,2023-12-18,EMP00199
LEAD00532,CUNQ001728,Referral,New,2024-10-23,EMP00084
LEAD00533,CUNQ000957,Cold Call,Lost,2024-12-25,EMP00077
LEAD00534,CUNQ000683,Marketing Campaign,Converted,2024-06-20,EMP00170
LEAD00535,CUNQ001839,Trade Show,Lost,2024-01-08,EMP00163
LEAD00536,CUNQ000359,Cold Call,Converted,2024-02-01,EMP00199
LEAD00537,CUNQ001588,Marketing Campaign,New,2024-11-26,EMP00199
LEAD00538,CUNQ001267,Social Media,Contacted,2024-10-08,EMP00076
LEAD00539,CUNQ000583,Website,Qualified,2023-12-04,EMP00076
LEAD00540,CUNQ001191,Trade Show,Contacted,2024-01-31,EMP00016
LEAD00541,CUNQ000563,Marketing Campaign,Lost,2024-11-03,EMP00016
LEAD00542,CUNQ000279,Website,Qualified,2023-12-08,EMP00230
LEAD00543,CUNQ000268,Trade Show,Contacted,2023-05-25,EMP00248
LEAD00544,CUNQ000795,Social Media,Converted,2024-11-02,EMP00076
LEAD00545,CUNQ000981,Marketing Campaign,Converted,2023-05-13,EMP00064
LEAD00546,CUNQ001008,Trade Show,Qualified,2023-03-28,EMP00084
LEAD00547,CUNQ000366,Trade Show,Converted,2024-10-20,EMP00120
LEAD00548,CUNQ000687,Social Media,Converted,2024-11-17,EMP00071
LEAD00549,CUNQ000265,Marketing Campaign,New,2024-12-02,EMP00157
LEAD00550,CUNQ000172,Cold Call,Qualified,2024-11-17,EMP00199
LEAD00551,CUNQ001186,Trade Show,Contacted,2023-01-19,EMP00201
LEAD00552,CUNQ001054,Trade Show,Lost,2023-08-08,EMP00071
LEAD00553,CUNQ001195,Referral,Contacted,2024-05-12,EMP00248
LEAD00554,CUNQ000796,Referral,New,2023-05-21,EMP00077
LEAD00555,CUNQ000035,Marketing Campaign,Converted,2023-04-14,EMP00249
LEAD00556,CUNQ000886,Website,Converted,2024-06-23,EMP00076
LEAD00557,CUNQ001265,Referral,Qualified,2024-09-24,EMP00076
LEAD00558,CUNQ001475,Referral,Contacted,2023-06-07,EMP00170
LEAD00559,CUNQ000346,Marketing Campaign,Converted,2024-12-10,EMP00016
LEAD00560,CUNQ001259,Social Media,Qualified,2023-06-19,EMP00230
LEAD00561,CUNQ000134,Trade Show,Converted,2024-02-25,EMP00157
LEAD00562,CUNQ000628,Cold Call,Converted,2023-09-01,EMP00170
LEAD00563,CUNQ001085,Referral,Qualified,2024-04-04,EMP00064
LEAD00564,CUNQ000447,Cold Call,Lost,2023-11-13,EMP00120
LEAD00565,CUNQ001516,Trade Show,Converted,2023-07-18,EMP00175
LEAD00566,CUNQ001587,Cold Call,Qualified,2024-08-07,EMP00248
LEAD00567,CUNQ001747,Cold Call,Qualified,2023-10-16,EMP00170
LEAD00568,CUNQ000469,Referral,Converted,2024-03-04,EMP00201
LEAD00569,CUNQ000900,Referral,Lost,2024-09-11,EMP00248
LEAD00570,CUNQ000832,Social Media,Qualified,2023-02-23,EMP00170
LEAD00571,CUNQ001583,Marketing Campaign,Lost,2024-01-16,EMP00221
LEAD00572,CUNQ000246,Marketing Campaign,Lost,2024-12-29,EMP00249
LEAD00573,CUNQ001929,Website,Converted,2023-10-19,EMP00175
LEAD00574,CUNQ001305,Cold Call,Lost,2023-10-07,EMP00201
LEAD00575,CUNQ001483,Cold Call,New,2023-05-31,EMP00084
LEAD00576,CUNQ001984,Cold Call,Lost,2023-08-16,EMP00248
LEAD00577,CUNQ001708,Cold Call,New,2023-01-28,EMP00064
LEAD00578,CUNQ000066,Trade Show,Contacted,2024-05-29,EMP00199
LEAD00579,CUNQ001906,Trade Show,Contacted,2023-03-25,EMP00175
LEAD00580,CUNQ001244,Website,Converted,2023-11-23,EMP00199
LEAD00581,CUNQ001393,Trade Show,Converted,2024-10-27,EMP00120
LEAD00582,CUNQ001559,Website,Contacted,2023-05-21,EMP00175
LEAD00583,CUNQ001113,Social Media,Converted,2024-04-28,EMP00221
LEAD00584,CUNQ001395,Cold Call,Qualified,2024-12-23,EMP00175
LEAD00585,CUNQ000096,Website,New,2023-01-06,EMP00170
LEAD00586,CUNQ000204,Referral,Qualified,2023-08-09,EMP00249
LEAD00587,CUNQ000408,Marketing Campaign,Qualified,2024-09-15,EMP00248
LEAD00588,CUNQ000635,Referral,Contacted,2023-10-23,EMP00175
LEAD00589,CUNQ000036,Referral,Qualified,2023-02-18,EMP00199
LEAD00590,CUNQ001551,Cold Call,New,2024-09-29,EMP00157
LEAD00591,CUNQ000997,Marketing Campaign,Qualified,2024-05-26,EMP00209
LEAD00592,CUNQ001023,Marketing Campaign,Qualified,2024-10-09,EMP00248
LEAD00593,CUNQ000934,Trade Show,Qualified,2023-05-28,EMP00071
LEAD00594,CUNQ000319,Trade Show,Contacted,2024-09-21,EMP00076
LEAD00595,CUNQ001639,Referral,Converted,2024-03-02,EMP00230
LEAD00596,CUNQ001767,Marketing Campaign,Lost,2023-03-29,EMP00157
LEAD00597,CUNQ001545,Marketing Campaign,Qualified,2023-03-11,EMP00249
LEAD00598,CUNQ001883,Marketing Campaign,New,2024-06-03,EMP00230
LEAD00599,CUNQ001038,Website,Converted,2024-04-26,EMP00076
LEAD00600,CUNQ001733,Trade Show,Converted,2024-01-18,EMP00084
